OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
128,An establishment where a range of fuel products can be purchased by motorists,Murray Goulburn Yarram,Shell,41 Commercial Road,Yarram,Victoria,-38.552961,146.681321
129,An establishment where a range of fuel products can be purchased by motorists,Meeniyan Shell ,Shell,Lot 26 Whitelaw Street,Meeniyan,Victoria,-38.578966,146.011077
130,An establishment where a range of fuel products can be purchased by motorists,Dowson's,Shell,307 White Road,South Dudley,Victoria,-38.588074,145.579206
131,An establishment where a range of fuel products can be purchased by motorists,Alberton Roadhouse,Shell,131 Broughton Street,Alberton,Victoria,-38.619785,146.668015
132,An establishment where a range of fuel products can be purchased by motorists,Yanakie Licensed Store,Shell,3638 Meeniyan-Promontory Road,Yanakie,Victoria,-38.812495,146.20739
133,An establishment where a range of fuel products can be purchased by motorists,RDD Racecourse,BP,26256 Peak Downs Highway,Racecourse,Queensland,-21.166469,149.131175
134,An establishment where a range of fuel products can be purchased by motorists,Mobil West Kempsey,7-Eleven Pty Ltd,8 Elbow Street,West Kempsey,New South Wales,-31.079631,152.831519
135,An establishment where a range of fuel products can be purchased by motorists,Mobil Crookwell,7-Eleven Pty Ltd,14-20 Carrington Street,Crookwell,New South Wales,-34.454864,149.459566
136,An establishment where a range of fuel products can be purchased by motorists,Mobil Murray Bridge,7-Eleven Pty Ltd,116 Swanport Road,Murray Bridge,South Australia,-35.131119,139.280596
137,An establishment where a range of fuel products can be purchased by motorists,Mobil Kerang,7-Eleven Pty Ltd,78-80 Bendigo Road,Kerang,Victoria,-35.739729,143.918892
138,An establishment where a range of fuel products can be purchased by motorists,Mobil Cohuna,7-Eleven Pty Ltd,183 King George Street,Cohuna,Victoria,-35.799531,144.212565
139,An establishment where a range of fuel products can be purchased by motorists,Mobil Cobram,7-Eleven Pty Ltd,90 Station Street,Cobram,Victoria,-35.923747,145.646066
140,An establishment where a range of fuel products can be purchased by motorists,Mobil Mulwala,7-Eleven Pty Ltd,59-65 Melbourne Street,Mulwala,New South Wales,-35.987005,146.007105
141,An establishment where a range of fuel products can be purchased by motorists,Mobil Rutherglen,7-Eleven Pty Ltd,17 Fortune Street,Rutherglen,Victoria,-36.057456,146.464153
142,An establishment where a range of fuel products can be purchased by motorists,Mobil Albury,7-Eleven Pty Ltd,131 North Street,East Albury,New South Wales,-36.070916,146.944075
143,An establishment where a range of fuel products can be purchased by motorists,Mobil Numurkah,7-Eleven Pty Ltd,2 Tocumwal Road,Numurkah,Victoria,-36.088115,145.442781
144,An establishment where a range of fuel products can be purchased by motorists,Mobil Wodonga,7-Eleven Pty Ltd,18 Hovell Street,Wodonga,Victoria,-36.11413,146.896061
145,An establishment where a range of fuel products can be purchased by motorists,Mobil Wodonga,7-Eleven Pty Ltd,178 Melbourne Road,Wodonga,Victoria,-36.11551,146.870687
146,An establishment where a range of fuel products can be purchased by motorists,Mobil Serpentine,7-Eleven Pty Ltd,24 Peppercorn Way,Serpentine,Victoria,-36.412461,143.975197
147,An establishment where a range of fuel products can be purchased by motorists,Mobil Wedderburn,7-Eleven Pty Ltd,117 High Street,Wedderburn,Victoria,-36.413754,143.610717
148,An establishment where a range of fuel products can be purchased by motorists,Mobil Benalla,7-Eleven Pty Ltd,191-193 Bridge Street,Benalla,Victoria,-36.548733,145.995091
149,An establishment where a range of fuel products can be purchased by motorists,Mobil Horsham,7-Eleven Pty Ltd,129-137 Baillie Street,Horsham,Victoria,-36.71211,142.201804
150,An establishment where a range of fuel products can be purchased by motorists,Mobil Whitfield,7-Eleven Pty Ltd,4883 Wangaratta-Whitfield Road,Whitfield,Victoria,-36.763923,146.414924
151,An establishment where a range of fuel products can be purchased by motorists,Mobil Omeo,Independent Fuel Supplies,196 Day Avenue,Omeo,Victoria,-37.100462,147.590423
152,An establishment where a range of fuel products can be purchased by motorists,Mobil Alexandra,7-Eleven Pty Ltd,10 Downey Street,Alexandra,Victoria,-37.190194,145.716597
153,An establishment where a range of fuel products can be purchased by motorists,Mobil Yea,7-Eleven Pty Ltd,31 High Street,Yea,Victoria,-37.211695,145.425572
154,An establishment where a range of fuel products can be purchased by motorists,Mobil Clunes,7-Eleven Pty Ltd,7 Service Street,Clunes,Victoria,-37.295193,143.786742
155,An establishment where a range of fuel products can be purchased by motorists,Mobil Daylesford,7-Eleven Pty Ltd,4375 Midland Highway,Daylesford,Victoria,-37.340807,144.130132
156,An establishment where a range of fuel products can be purchased by motorists,Mobil Cann River,7-Eleven Pty Ltd,12 Princes Highway,Cann River,Victoria,-37.566594,149.150578
157,An establishment where a range of fuel products can be purchased by motorists,Mobil Swan Reach,Independent Fuel Supplies,2025 Princes Highway,Swan Reach,Victoria,-37.821843,147.857418
158,An establishment where a range of fuel products can be purchased by motorists,Bairnsdale,7-Eleven Pty Ltd,57 Main Street,Bairnsdale,Victoria,-37.825775,147.635084
159,An establishment where a range of fuel products can be purchased by motorists,Mobil Bairnsdale,7-Eleven Pty Ltd,390 Main Street,Bairnsdale,Victoria,-37.828382,147.618642
160,An establishment where a range of fuel products can be purchased by motorists,Mobil Heyfield,7-Eleven Pty Ltd,3 Tyson Road,Heyfield,Victoria,-37.977841,146.784438
161,An establishment where a range of fuel products can be purchased by motorists,Mobil Sale,Independent Fuel Supplies,354-362 York Street,Sale,Victoria,-38.098868,147.068262
162,An establishment where a range of fuel products can be purchased by motorists,Mobil Longford,Independent Fuel Supplies,115 Seaspray Road,Longford,Victoria,-38.18419,147.091725
163,An establishment where a range of fuel products can be purchased by motorists,Mobil Traralgon,Independent Fuel Supplies,66-68 Princes Street,Traralgon,Victoria,-38.198799,146.534609
164,An establishment where a range of fuel products can be purchased by motorists,Mobil Traralgon,Horizon,6 Shakespeare Street,Traralgon,Victoria,-38.20045938,146.535358
165,An establishment where a range of fuel products can be purchased by motorists,Mobil Morwell,Independent Fuel Supplies,271-275 Princes Drive,Morwell,Victoria,-38.238241,146.405375
166,An establishment where a range of fuel products can be purchased by motorists,Mobil Churchill,Shell,6 Georgina Place,Churchill,Victoria,-38.313084,146.420052
167,An establishment where a range of fuel products can be purchased by motorists,Mobil Cobden,7-Eleven Pty Ltd,1236 Camperdown-Cobden Road,Cobden,Victoria,-38.32033,143.07975
168,An establishment where a range of fuel products can be purchased by motorists,Mobil Mirboo North,7-Eleven Pty Ltd,108 Ridgeway Street,Mirboo North,Victoria,-38.401562,146.161058
169,An establishment where a range of fuel products can be purchased by motorists,Mobil Leongatha,7-Eleven Pty Ltd,7 Anderson Street,Leongatha,Victoria,-38.473757,145.945387
170,An establishment where a range of fuel products can be purchased by motorists,Mobil Leongatha,7-Eleven Pty Ltd,95 Bair Street,Leongatha,Victoria,-38.479097,145.947809
171,An establishment where a range of fuel products can be purchased by motorists,Mobil Yarram,7-Eleven Pty Ltd,325 Commercial Road,Yarram,Victoria,-38.565474,146.675924
172,An establishment where a range of fuel products can be purchased by motorists,Mobil Wonthaggi,7-Eleven Pty Ltd,103-107 McKenzie Street,Wonthaggi,Victoria,-38.599097,145.592078
173,An establishment where a range of fuel products can be purchased by motorists,Mobil Inverloch,7-Eleven Pty Ltd,25 Williams Street,Inverloch,Victoria,-38.63166,145.729394
174,An establishment where a range of fuel products can be purchased by motorists,Mobil Foster,Independent Fuel Supplies,78 Main Street,Foster,Victoria,-38.652539,146.202643
175,An establishment where a range of fuel products can be purchased by motorists,Mobil Toora,7-Eleven Pty Ltd,26 Foster Road,Toora,Victoria,-38.659757,146.322516
176,An establishment where a range of fuel products can be purchased by motorists,AP & MT Mavin Petroleum Pty Ltd,Caltex,52 Lachlan Street,South Kempsey,New South Wales,-31.09356,152.837084
177,An establishment where a range of fuel products can be purchased by motorists,I & M Simpson & Son Pty Ltd,Caltex,25 Aitken Street,Alexandra,Victoria,-37.187541,145.702946
178,An establishment where a range of fuel products can be purchased by motorists,J Chisholm Pty Ltd,Caltex,153-155 Wilson Street,Colac,Victoria,-38.34439062,143.584133
179,An establishment where a range of fuel products can be purchased by motorists,Caltex Tambo,Independent Fuel Supplies,Lot 28 Dawson Developmental Road,Tambo,Queensland,-24.881619,146.257843
180,An establishment where a range of fuel products can be purchased by motorists,Caltex Mitchell,Caltex,3 Cambridge Street,Mitchell,Queensland,-26.485881,147.978759
181,An establishment where a range of fuel products can be purchased by motorists,Caltex Bribie Island,Caltex,151 First Avenue,Bongaree,Queensland,-27.080459,153.173492
182,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Deception Bay,Caltex,Lot 3 Bay Avenue,Deception Bay,Queensland,-27.193447,153.02972
183,An establishment where a range of fuel products can be purchased by motorists,Caltex Rothwell,Caltex,715 Deception Bay Road,Rothwell,Queensland,-27.209276,153.042853
184,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Mango Hill,Caltex,Cnr Anzac Avenue and Josey Road,Mango Hill,Queensland,-27.223365,153.037335
185,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Kippa-Ring,Caltex,Cnr Anzac Avenue and Elizabeth Avenue,Kippa-ring,Queensland,-27.226757,153.08499
